id,name,road,startLat,startLng,endLat,endLng,lengthM,widthM,heightM,lanes,diff
t30,봉산터널(상),일반국도5호선,37.363153,127.994426,37.370736,127.993748,870,9,7,2,4
t31,의암터널(구),일반국도46호선,37.82361,127.68807,37.82454,127.685066,290,8.5,6.8,2,2
t32,며느리고개터널(하),일반국도44호선,37.640554,127.80125,37.638762,127.795753,493,8.6,6.6,2,3
t33,횡성터널(하),일반국도5호선,37.497327,127.962861,37.492515,127.965134,540,8.6,6.7,2,3
t34,삼마치터널(하),일반국도5호선,37.601752,127.899642,37.594544,127.899736,780,8.6,6.7,2,4
t35,인제터널(하),일반국도44호선,38.052644,128.160772,38.044206,128.158136,977,8.6,6.6,2,5
t36,장전터널(하),일반국도5호선,37.671639,127.875518,37.668251,127.877657,414,8.6,6.7,2,3
t37,철정터널(하),일반국도44호선,37.79615,127.987041,37.793213,127.985796,338,8.8,6.7,2,2
t38,흥업터널(하),일반국도42호선,37.297793,127.902451,37.296681,127.903239,156,8.8,6.7,2,1
t39,운계터널(하),일반국도19호선,37.213925,127.891963,37.209838,127.892636,475,9,6.8,2,3
t40,매지터널(하),일반국도19호선,37.242911,127.899112,37.23715,127.897753,661,9,6.7,2,4
t41,봉산터널(하),일반국도5호선,37.370745,127.993409,37.363079,127.994081,870,9,7,2,4
t42,반곡지하차도,일반국도5호선,37.319972,127.992312,37.320093,127.992711,40,22.8,5,4,1
t43,행구지하차도,일반국도5호선,37.342694,127.99735,37.345459,127.996382,50,20.5,5,4,1
t44,문혜지하차도,일반국도43호선,38.199114,127.339133,38.199835,127.33908,90,22.2,5,4,1
t45,태기산터널,일반국도6호선,37.5822,128.272208,37.589627,128.302207,2800,11.5,7.1,2,5
t46,동해2터널,일반국도7호선,37.641435,129.016509,37.645517,129.016415,449,9.9,6.8,2,2
t47,동해1터널,일반국도7호선,37.690138,128.99647,37.694045,128.992857,522,9.9,6.6,2,4
t48,안호터널,일반국도7호선,38.585632,128.368097,38.587552,128.36836,140,10.5,6.5,2,2
t49,금강터널,일반국도7호선,38.588883,128.36887,38.589394,128.369155,80,10.5,6.2,2,1
t50,남설악터널,일반국도44호선,38.063728,128.546967,38.060551,128.555257,783,9.5,7,2,4
t51,마평1터널,일반국도59호선,37.582619,128.554799,37.584804,128.55408,235,8.6,7,2,1
t52,마평2터널,일반국도59호선,37.585503,128.553896,37.591271,128.554197,640,8.6,7,2,3
t53,현내터널(상),일반국도7호선,38.524651,128.410601,38.530003,128.406546,690,8.6,6.7,2,4
t54,한치터널(상),일반국도7호선,37.413884,129.197455,37.417857,129.193184,565,8.6,6.8,2,3
t55,월천터널(하),일반국도7호선,37.147542,129.356483,37.145758,129.356395,205.5,9,6.8,2,1
t56,장호터널(상),일반국도7호선,37.266783,129.319639,37.272064,129.312153,915,8.6,6.8,2,4
